area,bedrooms,bathrooms,age,parking,location_score,distance_center,price
2623.0,3,2,56.0,1,8.6,3.5,798473.0
5734.0,6,5,23.0,0,3.6,14.9,1964030.0
4553.0,6,4,44.0,1,5.3,24.4,1433639.0
3833.0,5,3,1.0,1,4.5,22.7,1485002.0
1443.0,2,2,12.0,4,2.9,16.8,503081.0
1442.0,1,1,29.0,1,4.8,17.7,469702.0
914.0,2,2,53.0,2,7.9,9.8,359623.0
5277.0,6,4,32.0,1,6.7,18.8,1890487.0
3846.0,5,4,56.0,0,6.9,38.2,1321727.0
4424.0,5,3,29.0,0,5.8,34.2,1228234.0
711.0,1,1,29.0,1,6.7,6.7,411027.0
5838.0,6,4,7.0,4,3.7,2.2,2314574.0
5095.0,6,4,48.0,2,4.8,37.4,1641090.0
1747.0,2,2,15.0,0,5.9,21.5,725762.0
1582.0,2,2,54.0,0,6.1,22.0,634374.0
1590.0,2,2,55.0,0,6.2,31.4,488924.0
2243.0,2,2,57.0,3,5.2,13.3,1062237.0
3434.0,4,3,31.0,2,4.7,19.8,1124490.0
2933.0,4,3,41.0,2,10.0,38.8,1287949.0
2173.0,2,2,47.0,1,7.5,27.2,918295.0
3904.0,5,4,8.0,1,6.4,7.0,1449299.0
1353.0,1,1,36.0,1,5.0,6.2,572232.0
2178.0,3,2,2.0,0,4.5,9.0,867981.0
2578.0,3,2,30.0,1,5.2,30.9,713415.0
3063.0,3,2,9.0,0,6.1,12.5,1059136.0
4840.0,6,4,11.0,0,1.4,1.8,1469256.0
1678.0,2,1,22.0,3,2.0,37.8,494727.0
3377.0,4,3,26.0,2,4.1,7.6,969682.0
3799.0,5,4,37.0,1,6.0,1.4,1653374.0
851.0,2,2,4.0,1,5.0,10.2,576029.0
3881.0,4,3,30.0,1,8.8,10.2,1672397.0
1521.0,2,1,11.0,2,2.2,17.5,634411.0
951.0,1,1,34.0,2,3.8,36.9,317701.0
5724.0,6,4,38.0,2,8.8,35.3,1808854.0
5814.0,6,4,33.0,2,5.8,18.8,1745649.0
4965.0,6,4,44.0,0,7.4,17.0,1923118.0
2245.0,2,2,20.0,0,10.0,22.6,975791.0
1127.0,1,1,46.0,1,4.0,10.5,408910.0
4295.0,5,4,26.0,0,5.3,3.0,1832417.0
2977.0,2,2,29.0,2,4.9,37.6,1048135.0
1259.0,2,2,39.0,0,1.2,8.3,371144.0
3274.0,5,3,1.0,0,4.8,8.7,1099037.0
786.0,1,1,39.0,1,7.4,19.4,446587.0
5510.0,6,4,37.0,4,6.7,20.2,2231169.0
1997.0,3,2,19.0,0,6.9,1.7,917169.0
4178.0,6,4,5.0,1,4.7,6.8,1969151.0
2283.0,3,2,5.0,1,4.1,15.7,1057484.0
3408.0,4,3,55.0,0,8.3,27.7,1322537.0
3552.0,4,3,41.0,1,4.4,9.9,1075599.0
1598.0,3,2,8.0,1,6.1,17.5,568600.0
5836.0,6,5,21.0,1,5.9,22.7,1895655.0
4786.0,6,4,36.0,2,8.7,35.7,1932986.0
5673.0,6,4,50.0,0,7.6,13.7,2492538.0
5432.0,6,4,3.0,0,2.7,6.2,1936364.0
3829.0,5,3,14.0,3,2.9,20.1,1551454.0
5578.0,6,4,53.0,1,6.8,30.1,1814668.0
1078.0,2,1,1.0,1,5.4,5.3,571669.0
1658.0,2,2,12.0,2,4.5,17.6,746245.0
844.0,1,1,58.0,0,7.7,1.7,302236.0
2357.0,2,2,37.0,2,5.9,2.3,841164.0
2699.0,4,3,16.0,0,5.6,19.8,1174371.0
2065.0,3,2,4.0,0,7.2,12.6,908237.0
5075.0,6,4,2.0,0,4.7,34.0,1419090.0
2526.0,5,4,15.0,2,9.0,24.5,722999.0
2117.0,3,2,53.0,0,3.8,18.7,682424.0
3531.0,4,3,25.0,2,6.9,16.9,1297292.0
1361.0,1,1,43.0,3,8.7,20.4,534418.0
4932.0,6,4,55.0,1,2.5,2.6,1665154.0
